LECROYWP804HD,2603,Waveform
Segments,1,SegmentSize,8652
Segment,TrigTime,TimeSinceSegment1
#1,02-Oct-2023 05:41:26,0                 
Time,Ampl
3.526886e+07,-74.5746
3.530701e+07,-74.5443
3.534515e+07,-74.546
3.53833e+07,-75.084
3.542145e+07,-74.9149
3.545959e+07,-74.9374
3.549774e+07,-75.412
3.553589e+07,-75.4076
3.557404e+07,-75.2078
3.561218e+07,-75.0384
3.565033e+07,-74.4445
3.568848e+07,-74.7067
3.572662e+07,-74.8805
3.576477e+07,-75.0124
3.580292e+07,-75.0003
3.584106e+07,-75.0707
3.587921e+07,-74.7176
3.591736e+07,-74.5142
3.595551e+07,-74.5673
3.599365e+07,-74.6387
3.60318e+07,-74.6017
3.606995e+07,-74.5645
3.610809e+07,-74.7046
3.614624e+07,-74.802
3.618439e+07,-74.0388
3.622253e+07,-74.6386
3.626068e+07,-74.824
3.629883e+07,-74.425
3.633698e+07,-74.5161
3.637512e+07,-74.0716
3.641327e+07,-74.3119
3.645142e+07,-74.82
3.648956e+07,-74.9569
3.652771e+07,-75.0266
3.656586e+07,-73.9783
3.6604e+07,-73.658
3.664215e+07,-74.1564
3.66803e+07,-74.8367
3.671844e+07,-74.5897
3.675659e+07,-74.1238
3.679474e+07,-74.2416
3.683289e+07,-74.7547
3.687103e+07,-74.6887
3.690918e+07,-74.3801
3.694733e+07,-74.148
3.698547e+07,-73.7863
3.702362e+07,-73.8704
3.706177e+07,-73.2528
3.709991e+07,-74.018
3.713806e+07,-74.9082
3.717621e+07,-74.8095
3.721436e+07,-74.738
3.72525e+07,-74.6497
3.729065e+07,-74.3084
3.73288e+07,-74.0495
3.736694e+07,-74.2213
3.740509e+07,-74.3079
3.744324e+07,-74.1047
3.748138e+07,-74.2324
3.751953e+07,-74.7717
3.755768e+07,-74.8326
3.759583e+07,-74.5497
3.763397e+07,-74.2541
3.767212e+07,-74.8148
3.771027e+07,-74.8154
3.774841e+07,-74.2625
3.778656e+07,-74.1426
3.782471e+07,-74.2675
3.786285e+07,-74.844
3.7901e+07,-74.6489
3.793915e+07,-74.1988
3.797729e+07,-74.0885
3.801544e+07,-74.5966
3.805359e+07,-74.7727
3.809174e+07,-74.2091
3.812988e+07,-74.5245
3.816803e+07,-74.7496
3.820618e+07,-74.6903
3.824432e+07,-74.3316
3.828247e+07,-74.3893
3.832062e+07,-74.4882
3.835876e+07,-74.3808
3.839691e+07,-73.9106
3.843506e+07,-74.5518
3.847321e+07,-74.8207
3.851135e+07,-74.2452
3.85495e+07,-74.4734
3.858765e+07,-74.7803
3.862579e+07,-74.839
3.866394e+07,-74.9543
3.870209e+07,-74.7099
3.874023e+07,-74.78
3.877838e+07,-74.0975
3.881653e+07,-74.0723
3.885468e+07,-74.062
3.889282e+07,-74.8779
3.893097e+07,-75.0224
3.896912e+07,-74.7001
3.900726e+07,-74.5976
3.904541e+07,-74.7254
3.908356e+07,-74.2687
3.91217e+07,-74.2531
3.915985e+07,-75.2556
3.9198e+07,-75.2521
3.923615e+07,-75.0286
3.927429e+07,-74.7128
3.931244e+07,-74.7748
3.935059e+07,-74.9984
3.938873e+07,-74.6826
3.942688e+07,-74.9095
3.946503e+07,-74.9275
3.950317e+07,-74.8583
3.954132e+07,-75.0533
3.957947e+07,-74.7506
3.961761e+07,-74.7771
3.965576e+07,-75.3282
3.969391e+07,-75.1711
3.973206e+07,-74.7587
3.97702e+07,-75.0039
3.980835e+07,-74.877
3.98465e+07,-75.0299
3.988464e+07,-75.109
3.992279e+07,-74.8438
3.996094e+07,-75.0981
3.999908e+07,-75.4603
